,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80
sim_0,74.3,98.6380272942857,108.64539005557586,115.22635039717957,121.93291027950782,127.13632802805463,132.9201113219509,140.9766458594143,146.30880697379965,154.90061389081373,163.5767623527797,172.28854536765593,180.27314498472052,189.56258917617973,199.57568962870698,210.1713635416968,222.56076176293772,233.53415264006523,246.4663636608098,259.73894704697653,273.08817857277387,280.0483827453208,293.037443052315,307.2050369435498,281.72189487745345,282.0714133255238,292.9483112172204,300.45636594874406,315.85584214593257,329.5104062271693,346.7705915720244,366.64793146501955,384.0251864669834,403.62709499898403,424.60311585943646,447.3561932659885,467.2943454337859,492.29685805007193,516.4116632878548,545.0818190415728,571.8830100571487,601.213852186174,632.3697219141762,669.5880541233918,704.1493335622323,738.0750324666666,626.2301402268994,677.2843467845665,718.5265450108886,756.5823276848632,793.8997024727007,723.740390634404,724.8813301735406,750.4918091621068,796.4724258669199,829.9239284430962,758.016191830779,757.428007438186,790.315857405838,826.4592691158041,875.3735507143423,914.2993959194666,953.7091349107423,1014.604217341167,919.7749424702964,1001.8142980582875,858.2839111724352,930.3042569177786,986.0739847656694,1039.223748189334,1093.5974512453056,1091.5527624612305,1099.705947262601,1141.179732005889,1195.9782604355078,1256.6729377954514,1321.3354567983238,1390.5998700305427,1451.8111406748708,1523.5058910420491,1607.5547609052182
sim_1,74.3,98.24458949999999,108.49676302721751,115.14327920252614,120.96428724165324,126.91323015410723,132.73280156327638,138.8691293000315,145.28907677627626,152.82177620286723,161.86402319523032,169.913104971303,179.4836524147663,189.82029904794302,198.77194930776858,207.93212286102784,218.5927041980769,230.08461232786675,242.3136910189386,254.4198278880143,270.5066785338545,281.9750585596665,299.3780026443475,313.60945291131503,328.8038322365199,343.513099873961,323.79388287260275,330.41399906588435,342.33271997294133,358.8017820893866,380.1022696795801,395.44512639842867,418.3911461307067,440.4784122223025,460.7800736949636,485.8892431715028,515.5822233629815,545.2209223589509,567.7078304945958,596.0793808584858,629.8976727775212,655.8117800204907,685.8854766169807,726.9090052684603,741.3420355625568,764.1231994762484,799.2542506915617,837.4511645063667,876.2815514830602,920.439620843471,918.3833090849977,948.5852500450967,995.9154265582988,990.9074183018644,1022.6699752470355,1070.2419630722968,1142.7042089193299,1196.7553463778208,1249.8512225811733,1322.3009826164957,1388.2847562404609,1445.0699915823418,1514.7904363608454,1614.4087747175295,1682.1208878175496,1767.3256111691132,1860.6212722905752,1939.825328753731,2034.1861467560864,2137.57155669467,2258.5571082375372,2356.9244795804752,2493.6510381476523,2613.7432917033307,2754.681124930871,2880.8491710658363,3036.838383295057,3229.7185900331588,3369.570083288263,3529.676483553103,3707.8291948689553
sim_2,74.3,98.24458949999999,97.58107937745783,106.12982711379846,112.59845588991087,118.3475015657875,123.61559415471169,129.30733453546097,135.47470668693586,142.40224785684015,143.8968147726929,146.00697726145506,154.9267711335863,162.97116856448753,171.63284358378547,180.92721447299758,155.98657660847505,163.05551592797605,171.43826191805056,157.82993194187173,157.40224865342188,165.5494676447128,173.34108111066575,139.9366660272945,156.8253700782049,167.88383318193092,172.90196849131138,180.73047183595276,189.99182787859826,201.93669004438885,212.186215413522,222.53229983742608,234.97152929655672,246.7432899190655,184.0682173302175,211.74474962379435,230.3300908553546,241.53303967018627,254.03705753194933,268.0913046771346,281.7389106928902,294.56603519302064,311.35681519860947,326.17680346783425,345.51890814206234,359.45094769178183,380.1154176824907,397.50745928545894,418.79367167403854,439.7059220177159,459.4441943907299,482.27739362376434,503.86763601162284,528.8667501585202,557.3161130988317,570.9493740910494,597.2708525941233,627.3347804389947,660.6478829995542,694.7256764168783,710.7547802930837,750.4714002142401,761.7217034667689,710.6641757059346,716.6308865807031,749.6611340684939,763.9625456156326,775.722306314951,765.8530593000623,791.3174285954082,829.2074428035967,870.7661854630535,910.6987951850952,929.1058036540089,967.5090644535696,1020.4178296036457,1068.8317427323266,1122.9398376471215,1182.4838076648207,1242.367585980283,1323.5238562485936
sim_3,74.3,100.06045624285716,110.20926584377747,115.91447254572704,119.52945108195178,126.03457084687398,132.91462336403532,138.34494782611512,144.5459106474617,152.4690270023664,160.24762424496177,168.04508126186533,177.3033422361569,185.97837434218644,197.84531147649867,206.85978293254038,217.59705927441684,228.92346003585124,241.94723213640748,255.7288879687895,272.279457773531,283.37391898671206,298.5892404151436,313.25935780891166,330.31634364398184,346.1163415024048,362.3876542511301,382.8944931217772,401.43322401006617,422.0200122645535,443.96656522475087,467.1245443855194,491.49621962448157,517.1274969473196,544.0786121313417,572.4161904414499,600.0471645311193,624.6675228284846,654.976823185422,689.3457778418574,727.0734654253421,762.7834551470136,805.0471588512379,849.0181357990676,889.3350481472262,947.7069425559837,1000.5508193323413,1045.2856526662767,1100.674910145589,1151.4904178575428,1203.158539742907,1261.511583034354,1325.6773673339417,1394.9632450128768,1466.2732719717226,1545.9909451709514,1612.4833306897203,1680.212705156672,1761.7275327845512,1851.2403229881588,1974.2190570160392,2068.3743592637284,2183.8763981637835,2268.3578135021,2375.6568616798463,2506.75559628289,2624.522891711584,2687.9776056348155,2801.5047301078757,2939.0400255555596,2951.154733406569,3043.181399754171,2070.3091335854133,2474.3975661179293,2709.234261544478,2852.823707714928,3000.965439541642,2565.8134721713304,2674.878891426145,2817.8043712486724,2953.6389172160734
sim_4,74.96857142857142,99.95084703257142,108.54896822557879,114.78667100648607,121.22029729410318,126.8173365253843,126.5886974332457,130.67268217283177,117.56084606730452,124.57562036325871,130.1546096383221,136.4428488285327,143.60765261073527,152.7316668012582,159.95983288657393,168.5897272046048,176.22241219481174,185.83272204679534,196.63849761171866,206.40405709530984,216.75633676269845,229.39264231540926,240.6240812602822,253.10244938527705,266.40661740437247,282.056247023989,295.8298611256889,312.2952171273273,325.7425757014318,341.94697201552225,348.5597660221016,360.7472698719844,379.9548719057505,346.88063988886665,338.44097574094735,348.2374611168615,367.86555786509695,384.14767189883185,403.4374645325922,424.3161607848292,443.5742937333604,469.6306824915109,491.19413115465585,516.0020895810752,542.6731672280285,570.8773684439159,602.8172206447776,634.7392639885813,665.9256674348259,703.4750579177806,732.8812022423779,768.9677351223953,719.2864726301261,774.2721402223533,826.3070738159217,865.7756714608119,905.0836131890327,962.2596667935078,1011.8649547806218,1054.9715882800228,1100.7098063888818,1146.3617738659245,1203.521299474456,1268.7618865386041,1339.316173099894,1401.3967340801378,1480.255793402489,1550.542491070551,1459.890273475823,1475.8674026782617,1535.771043558648,1619.3168436576454,1695.852824251361,1787.3615437512,1889.7869659300447,1963.4500749274857,2080.5656854804165,2164.432814360646,2260.370342241662,2404.0524720666554,2519.2437220626684
sim_5,68.46857142857142,93.47629468571428,104.61402486110109,111.83015092534518,116.35493351297578,120.51910790423673,126.98288418710783,131.9049404706874,137.75780856330837,144.84574085384716,133.5251591284742,133.6338092992763,138.59507916170065,145.36290788704432,154.67445993539135,161.8046922375695,170.15852851585367,179.17764686875557,189.76852591529766,200.68394472468233,208.83409960831364,219.1190295880324,230.52193315334847,244.70207167086477,256.2616290051021,269.4178861626049,284.570325757002,299.9319398878143,314.77214145606956,332.03699076621575,348.9982509791158,366.9295258887819,386.05427166899597,411.54267353032736,429.4858425376176,316.68771838666066,363.78888769250887,371.9409718025817,385.31200540009445,409.5602709175214,423.1688003281464,442.8992768790705,465.37664093878345,486.19130006377156,512.4410326633108,537.5237779036389,565.0766981358496,594.3711618541078,625.2613994165741,653.5317381410996,686.4673740395998,721.8976526679935,758.8055686290611,792.6258282694334,797.7220993924783,790.5314160262185,756.400697415097,777.1086180777202,809.4244742462039,844.2188663461535,886.0144679914424,936.4164908436712,983.3096538123972,1031.9787924099235,1079.89321178951,1131.640987739314,1189.0548231099979,1250.2476470336546,1317.3816704909623,1383.7358532996873,1478.8146554092157,1544.8949988340614,1620.5476052819358,1687.9735639537678,1793.0766285413197,1886.601133067706,1868.0319933046649,1923.6417356367556,1998.6913280739163,2043.4910675067272,2127.384750467994
sim_6,74.3,98.24458949999999,110.0101522617784,116.7902565163405,109.65551725499569,116.76479130711705,123.18823423364469,128.55400692085573,131.95533287434154,137.871159201414,145.16896588803465,153.2135375452708,154.01011621220704,158.85430668381616,114.43768748874464,138.4610899747687,150.8296248703378,160.28904577958534,169.57887738769733,179.03688658479516,187.06116666929785,196.51041540097128,206.82875894352037,218.26066481916078,230.98840194566392,242.13898666751544,241.91729875789073,250.17764250498752,262.15303819319956,276.70361017782824,290.87211065167816,303.7175894464539,318.88838434462906,338.2502341709576,354.0396696451411,372.0644925794734,348.1584978084134,375.26593992416196,401.8466268886166,420.51577958273214,441.85172735415904,472.3570067869297,495.9953932567282,517.6428732915708,543.4612063404792,575.8793986015727,602.782286843488,602.8044314345674,624.8311436147505,651.614780578569,683.3947010764139,677.9781175043126,700.2659509914921,732.0952500158618,772.9918140075299,809.9726274717511,852.2605540272995,895.7333139925374,945.3869637740779,993.2610323952404,1038.1050715120948,1035.1957763117189,1068.262608267246,1060.9020735031293,953.3544421825598,947.6656143313699,991.2623587888763,1031.9354315980313,1082.4295171273448,1137.6460955591992,1198.9802693611277,1261.5794593108358,1324.6468490473108,1398.1771470694312,1466.4726576171386,1541.1549714075852,1628.488431661695,1697.5013818440284,1779.8001928661706,1896.9303018556084,1976.4524610060903
sim_7,74.82914285714287,97.78613115142858,105.74147196559231,111.44467093859,117.53014011611528,122.65269969730556,129.32171087592542,118.60447851318591,118.5447505518648,123.78603299359591,130.48431593626157,137.56400573020932,140.6189455649523,147.53983671146798,155.38876984214934,162.91020927226646,171.4183875501864,180.52910775074147,192.25641045637366,201.08135415458713,188.68050013986365,203.17007234152933,215.19421740194412,225.68787547983754,237.11115576006353,250.90561767478272,265.39124613040394,280.33692102771084,296.60515071411527,309.44607950894977,324.99916699787195,341.46429688022226,360.2261320502366,378.3831124076373,398.0001438844148,418.77075104944095,440.649318434656,463.6639629192623,487.8651708697355,500.65214967692714,522.2990097673606,534.7692227080088,557.5300165931253,524.926402865528,504.3826679906656,515.5205463222843,539.333993264818,566.7174752316982,597.319807352868,625.0477563910155,655.7494070575314,689.9331816891578,719.8494775575978,757.8564192571095,739.0493783549855,773.2517579719477,812.2303358535635,848.5345317310655,890.4379822857688,941.0611505094988,941.2892076109463,970.7747608432555,1019.841626237078,1065.8522783995386,1123.6852518185572,1178.2663788628865,1230.2321981349128,1290.6732349139857,1356.5300246205893,1430.2656083657203,1501.5139289327033,1578.3565344706517,1648.9330706123596,1730.1221824894558,1818.3624588341745,1911.9315420364005,2010.5300483265019,2128.2581621277413,2228.6352576444838,2341.0099465367375,2469.194135442192
sim_8,74.44857142857143,97.68951198571428,107.82958445215007,112.138952151981,117.07133207350404,122.38278024955987,128.23200876983003,134.5833061440961,140.4405845237423,148.09673014841468,155.87321681988666,164.3100825785053,171.8876891451522,180.76021943514024,190.200377128181,200.2808378086379,210.92227999943646,222.41512868632856,235.5211499030824,248.29596835448,260.2034463645175,273.6072727235042,287.94352703895953,305.09613620128596,319.78261356165956,337.1058377592162,356.814262123663,371.1577745971477,392.4018409483776,410.5907201198583,428.5205607083559,452.23171207686823,473.92792220169474,498.1305438910805,523.9602801089302,552.7027509083268,551.0051898299595,570.3711782830796,596.2977615762602,626.2859359264078,656.9851417939226,687.7211908276038,726.6120102174385,764.3873722808557,801.1577121540881,855.7816028747733,890.5995224905862,949.5124487031378,1003.8373902632338,988.9363310931831,1017.790298956997,1066.409812339684,1111.3025216058345,1136.4102073780748,1200.887669635288,1249.5512450451452,1309.5847001733441,1379.7480637874344,1448.2108633083233,1444.3575382942552,1491.5132955872702,1586.7751344125036,1649.318440467348,1729.1543343076041,1819.4259342359246,1930.2590470372375,1921.6637172699084,1982.090041543851,2067.578773373099,2176.1684576510984,2282.775672338045,2398.970417916619,2505.911572886443,2672.574805033324,2779.419838017307,2919.89888065464,3064.2383131441857,3220.4789839167015,3385.9861845222003,3560.343514399341,3764.071122438344
sim_9,73.99714285714285,97.47183067142856,107.56493743864219,114.21837461890902,119.93536205644965,124.91247173581255,130.44739970935277,136.62676067295428,143.79309881527678,149.61632303710184,155.98254640897312,162.88425744221655,172.21121103842876,180.55520174786443,189.9590870224721,201.94418575696443,211.52809919600088,222.29931753899106,233.96141043899013,247.72556262960845,241.50622144010464,253.09004832737932,266.1350790670515,280.0889982138752,294.8259780664306,310.33882742614566,229.8881278800394,266.79541022384444,286.13282743139257,302.049633618305,321.2286390660055,330.4819397540117,335.2271415371171,352.35734333048003,366.43784879404603,384.4307346968622,404.2257853761582,426.922168365208,449.90122124786114,441.01462439750645,472.5052397988628,495.9562607116885,517.9932834712546,543.7985337695803,571.7943197362367,602.8137228944104,637.399283072741,670.1689827762791,706.9545369763887,739.8350806256936,784.8568715156905,820.7358223745616,864.8691794274754,906.8357639871483,956.6098287519312,1005.4966794241896,1055.527624171211,1082.0468767448979,1100.261942526313,1155.9425408537484,1209.5635435064946,1260.1073477090736,1310.3825427064319,1378.839408101422,1452.8332827657866,1542.93607479371,1611.508941320844,1690.4600722515165,1760.641062976806,1800.6914423054218,1890.744311174336,1979.5967148018817,2073.740574417804,2178.537934340602,2279.9552456812144,2388.9755597344524,2381.1770393089337,2458.3154961900104,2572.5333098222445,2701.731705222632,2847.77731353953
