,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80
sim_0,75.01314285714285,98.13892419714287,108.01495602861795,115.08761649755553,120.37121739281724,126.941025659362,132.4299013624938,138.05574020144815,144.78143122352117,150.41063634622859,158.16962737941293,165.18130364363302,172.16879254307443,179.1816748911387,179.2533484087994,183.93486644308712,191.41691761233636,199.64924964019622,199.92735452322626,205.8314315606096,213.43680860278926,222.68578493311452,229.48345921712627,240.02594696116847,251.73496667977656,262.2579793126781,273.68470435336525,285.72195439955004,294.61723631521915,304.1445422087612,318.7194571698821,331.0468839398305,345.639358743771,363.39811992624357,378.5315251524366,386.0112335480475,404.22741425539914,417.96856424897845,415.35876365331393,426.18939766228874,442.803644156183,468.2293903878194,490.97094250403757,506.4086072034204,526.8187481114857,553.5726136401371,574.5936376444821,599.7498816210568,629.6949008119004,649.6847862147522,675.8373745042388,707.4181822255,735.9329515004642,775.9956855695666,809.7515717185213,841.2449802283659,883.8633738117996,897.0579948609487,932.2815700043492,949.3994238955819,980.9780724846037,1031.844380569919,1068.126465336863,1111.8957105228126,1159.1393380849456,1205.091929064756,1251.237229797491,1308.632419832316,1352.6614457365552,1406.1623072657599,1465.3078155367991,1501.7139277883139,1573.3330399255456,1642.7921299523487,1713.802989326879,1788.8207515435747,1864.6649969157877,1944.381002126592,2027.6697878779896,2114.5581642275697,2205.165696894544
sim_1,74.3,98.02441172857144,108.08107587695201,109.43035489663471,113.09544444476055,117.94601421466297,123.45971712719796,128.9872076856849,134.85772611390206,141.00769103645763,147.42785794595602,154.97858712937244,161.77849008210907,168.9427290713792,176.67390710318048,184.42057263924977,194.668547048693,201.88895666612072,210.5054701263443,220.10907986919995,231.2915633585227,241.79369737564946,251.27227306660677,263.46470177670057,274.08121953285695,285.9022071635213,299.2322062636154,311.84769627911066,325.40779785670713,339.89088614321923,352.3780846327838,369.1423693636639,385.34588224969167,407.95306703827356,426.57793495041653,439.7288239938289,457.4190096959956,476.94038807855287,497.5858451642555,528.5788888451128,550.5569533537137,569.1839997513192,567.6227064325304,580.7787570615642,609.7615307354719,630.7175779897398,626.5306995665678,643.5955903681559,673.5671367042944,697.8803067164833,722.3160517220749,756.3968208211319,785.0402531919858,817.8460251134909,852.8469527325499,897.2391395100119,893.186078401792,911.8012079554285,945.7216613445202,753.7658714651693,815.1651158285134,858.1502752046351,907.6210541303246,940.3891414972344,979.1923654854944,1029.730530944786,1067.6422214281856,1105.0547487466247,1150.2919718367737,1201.5108566407998,1255.9777945005974,1281.0845975927812,1325.817186225638,1243.2028826586152,1248.2629408823525,1288.8278377157344,1356.1355734380932,1403.0771843580503,1443.4483158883133,1477.3200817157408,1531.7185373563661
sim_2,75.07257142857142,98.16107708857143,108.453192466308,114.62856405130219,120.23511291446457,126.72811081573974,132.70492535478516,138.1362688393362,146.7810025340264,152.0039612014486,143.5159933422334,144.38997245513988,148.5513504087427,154.50793806700213,161.2936037677348,169.14142784046768,177.80931476070077,184.6990106474925,192.68734805824752,201.23422429352445,210.20462831220084,219.57364481600447,229.34664678100256,239.5377202000177,251.83578309968,262.0460063564716,271.4866468879536,281.7417867008087,291.1566268355333,302.8938262336919,309.89414465065926,321.2118367969599,328.2998168079921,340.17890516821706,354.41275658336366,368.34746856583047,382.9054334304414,399.22456577817957,416.5483813342819,426.33990295875475,441.83852207949155,457.4627786074384,475.96465987726583,498.1599828807537,519.6340153131713,547.2521449812647,566.5441304950866,592.3148196974064,619.6777683823719,643.5691971358276,680.3582616422863,710.682509716495,734.4779322307966,775.3203532808659,800.9410502688941,835.6582121927836,869.6181985510178,906.5556789499083,902.0724478709551,926.937262556191,958.8154888370494,896.073809081126,898.9322937643913,937.1108810677619,968.7760921183287,1013.6506152164784,1046.536651610808,1084.3069589499858,1127.411582209692,1180.5482092653142,1231.728993105643,1278.5071583063475,1331.783867848428,1388.5518464938298,1448.0712223722853,1510.2188503605053,1584.3809820381648,1646.1178063605712,1715.0533068880472,1793.060555563903,1884.9996919380758
sim_3,73.99714285714285,84.69487185714286,89.69733750382787,94.19721584247164,98.69530288665845,103.33284249549415,108.15402569037444,114.10247792503148,118.75825328858025,124.06454335847971,130.45108408953618,137.81053979925247,142.69580532043742,148.81166296978517,155.8960791288243,162.94674692213658,170.0130685278833,166.71106012052223,178.53557597180225,187.2532010476662,196.414157630175,205.6806417911796,215.74322973283256,224.1649775777932,234.67950514958238,247.0404237897364,256.05835491542956,267.8990087357513,279.64975590838003,291.26162431930095,305.66656763495945,321.4796579628019,332.85234269194837,344.6213234434872,359.11694845637993,375.2332759108543,393.08889259060675,408.50668999752486,433.5396026238236,450.98579964628163,464.52515122590523,481.99552964132545,502.2195878160262,523.8498683049136,548.6101899236394,546.3553220266051,577.8772969899153,598.2789381884108,619.1519807263527,646.6323765763949,672.335835506676,702.1823921216211,733.6659773802623,772.3685368712213,799.3662734920457,796.5326702435284,826.8933824979615,845.369732943831,879.9490709814972,873.5170993134628,894.3770842114851,922.71712130525,965.7990270569139,1001.7505048619349,884.051872349466,993.8564496081952,1046.7539560840569,1099.1221273328035,1140.30544396792,1133.1182396419952,1155.8826000005567,1198.446859004792,1251.4443346130183,1287.1571095106547,1341.699369934432,1399.1329446085106,1470.7013932890197,1538.1458379066491,1597.6356531672955,1661.0183265149108,1651.1690839986095
sim_4,75.01314285714285,97.52736591714286,107.11595618364376,115.02249482759484,119.6525016518969,124.97934566627248,124.96618042353799,131.99838417663318,138.6485414125475,144.89059419717725,151.45756022880568,158.4361764906284,166.10505618948446,173.1878964206875,180.87256118905114,188.96613909484228,197.805230124918,206.39559203142815,215.53886148940782,223.77664423360153,233.77162751963442,243.57862213992885,254.22211449992884,266.4988422817258,279.69686416310367,290.4015619453504,297.6576237870711,308.0552529491209,320.87158321270516,334.7691301082388,351.28715044020777,359.2328106599165,375.70162169025394,388.37116189312815,407.7836007141029,422.99608324458154,442.468863255717,463.03760962729353,481.07369937302377,503.3158828072379,525.8248296627896,546.9062006071163,576.7040879134642,569.9862776552737,588.8318540441151,609.1425713355726,634.4675401059059,653.4762322786199,678.006971593545,673.9895445906751,696.0932754597924,706.0178961448206,729.7097705148308,744.7154750283373,770.9652002047235,802.6576423676107,836.8718574661375,878.0193363126286,915.9855209000737,952.8406783675205,996.116930526262,1020.7997778775172,1067.3721127312756,1114.021280297897,1166.7307564208509,1223.4637210313729,1276.3295658983398,1329.6238773393354,1385.2133971485919,1446.019016387927,1494.1075209016888,1553.0176443853234,1641.8728329334529,1685.7415651253982,1781.104824170095,1854.8518803338702,1917.2025899687042,1995.8219252579984,2064.3280147586493,2148.186074090473,2263.520894818392
sim_5,72.39999999999999,94.8171613142857,104.08988990331969,110.95651120125763,115.97226305242866,121.29343440211285,124.79767061892781,131.26776880126783,134.9990194317056,140.93450657244858,144.0844771199349,149.48376874813027,155.95586634562366,155.71480977835938,160.18600190683145,166.7292362152109,174.06068996015645,182.24342927344495,190.28312487307264,199.22365865935802,203.7733293798597,211.58710236638382,220.4093429417724,230.0540748257515,240.23096846501943,249.3698571471399,259.76915897065186,271.0835393615275,270.2365266155542,278.00536734418125,288.7973513176683,301.1257391820369,314.2712211926176,328.0562679893112,342.4506897214857,357.7120332634649,370.840897361498,387.77132474838066,395.86496810627034,411.47004747351434,433.7451001028677,452.8630390497491,476.52171111106827,493.7072674055493,511.10819138385625,532.2184934592442,558.7983044987627,576.9095839984947,596.063704297374,624.5995726294598,647.8122992870742,674.8159498058374,706.3893746294591,748.4033657249091,775.718207551213,766.9551401816562,785.5714195577406,815.5645575032419,849.7009125812785,892.5120108203118,937.2524456875785,969.3164892314796,1008.821141679829,1022.0167265956828,997.1170971355295,1073.9169852079579,1100.2094254555523,1161.747271191626,1220.1572913910816,1264.421433180341,1314.7530530829154,1380.9821167637758,1425.069162337842,1506.6913968456802,1556.2538456664338,1583.2157123578477,1637.2807321754444,1698.2403129242844,1769.0011972495893,1841.6458404988034,1916.3291747023757
sim_6,74.3,98.28165951714286,108.01935848465777,114.42537258759222,120.35039536053978,125.08661319236354,131.4782626717054,137.00499694145458,142.8828253056332,149.28455368797097,155.11339479201277,161.73766197714878,168.93666631585387,178.38712791549688,187.7263663783574,195.44055818728694,203.42649025077418,211.55936998792657,221.8805485497138,228.31178869255362,237.3131975910814,247.53444525484747,258.4179045472836,274.6454859660481,283.5352611763963,298.02137168692974,313.4073965802354,327.1113397804174,338.19251738674023,352.1394318268527,367.87918039142363,383.54664625271874,395.6413159493227,405.5029287413027,426.8685817329187,441.37612209115287,465.55941587446443,471.7227120838172,488.9862558601917,510.05674051610947,531.8259411601125,553.3123795752903,576.8885928646177,598.11942618303,622.4426412344418,651.32287708826,677.8221909676939,706.6869098507359,740.1278150257968,774.2492415598676,804.3232078613606,838.1325940659332,874.0479080479148,911.6749145468416,961.3356214617057,995.7944746473198,1030.4518423578497,1079.3903248264876,1121.2761758491486,1144.2132580447924,1192.4101904757442,1235.8221505376014,1278.9328521391205,1329.9515743169895,1386.0254500143483,1445.2703759195547,1507.2534195104456,1578.3904198243995,1641.8019892268958,1711.075732428605,1784.1589404874833,1859.9159676403226,1927.551179531709,2013.0119686393487,2112.468020984521,2189.484552379144,2279.6380785594147,2376.3033347855544,2523.090535790244,2607.8229880677764,2737.7661986412977
sim_7,74.3,98.59943619714286,108.37436461080526,114.57945364662865,120.45275960187956,126.85595467061887,132.01838158373948,137.8802122802545,144.12177061637635,152.77278195468716,158.90399057877232,165.72533981401526,171.6738356323644,181.34891674390389,187.651021034663,195.56542127979418,184.8146926136737,186.02051497663217,192.44626607983878,201.1061143499709,209.5764510032235,210.89920696281087,221.87062628146185,231.58115598590842,243.18749044680868,253.7199199135585,262.6626177316486,272.5788764142203,283.89134079429095,299.68328675210216,310.24263230824107,322.78263179486675,256.75953944433866,278.23326977844084,297.506639575305,293.7163705847468,305.20244501996376,318.6941861803183,329.31327309712606,337.8806316006903,307.4055044972329,305.3521879596429,318.1228129142379,329.3154873966659,344.32204283755914,357.69147732380947,375.0136467197637,389.87054662554357,406.4907429922131,425.2724016359073,443.02292186934403,462.11338936717266,483.62751464566475,503.6780731573183,528.8666498914013,549.3768553945856,575.6635328752427,600.7110192710735,624.5614650329537,651.0215982891685,669.9186547378098,691.3284401108006,732.2151200929945,755.5921418053118,791.7962072483057,815.5809294184721,847.1815973099503,882.7552811558301,621.121648968721,755.8151448167541,817.6336029012501,855.5279303215202,891.7156794697873,835.368330014948,822.3963601375868,848.4281890890121,886.086163306978,909.799530004602,945.09616879443,943.5796423225099,953.077532931515
sim_8,74.3,97.87308949999999,109.06471724251155,114.78708505870537,120.60002199780016,113.39200089539878,122.30238172513361,128.4075778288482,135.0242187862875,140.5133136337641,146.73163349869418,153.34918722489607,157.28914257785584,163.2957340602557,169.36131965650554,177.49092878459328,184.65589076431243,194.1957270859437,202.374675050122,210.7737884220689,219.99932468671636,229.74508873141383,239.94087449250316,250.58087575482875,261.6772760601054,274.79351963654653,287.5474111956734,300.0314061698831,312.2894005504918,325.5435592321368,342.606759673825,353.5083743804995,367.5447797435489,383.23880733845374,399.8888527146921,417.89081311287595,435.7396948985321,457.0926389823312,477.8940128435628,496.511707694911,517.5111520821459,540.2428961401439,563.3811341463676,587.7366919887879,614.9527237336114,640.4089686047682,672.6590112943018,700.327318799941,714.3635458715855,742.1317639323006,766.1353920112028,796.3066199113877,834.7936705958347,870.7274464572472,908.335596730961,946.5603673928613,985.0781346485207,979.9188634550669,1032.7295229974286,1080.060929695371,860.4815667564679,935.0489321480949,986.0413112443188,1030.6224336897874,1073.6586352666618,1119.505687977899,1152.725125435892,1204.3725037293452,1256.7163619683815,1310.8854111731716,1367.2549079749565,1425.9991979592205,1508.9431681429828,1559.1835296082509,1631.5343695125612,1688.4464015751573,1747.5315978900712,1810.692118077735,1888.8761750788308,1503.3033464957489,1703.35786792597
sim_9,74.43371428571429,98.19535106411429,109.88821630418457,115.75330797361593,120.71611808769093,126.82564028856135,132.17645161934655,137.2873194077479,145.1678202707045,151.5721209735733,158.87083338343172,164.62116241373985,171.66330521814479,179.28904955227026,187.31673209296258,196.42855257569624,207.02494141041726,214.59612904052375,223.70699818545418,234.47017364926216,242.75907327849023,254.40680834036937,264.3197090696174,275.63844175807577,289.33548503708306,300.96776030729905,313.9119186367521,328.8346013900655,333.7826068182236,347.6902105004466,360.40649291908534,365.0538512564034,384.7052590360623,398.44348822881625,415.0147987317914,435.82809712831636,454.43736649480024,466.6418354368536,487.3505996502083,511.643687393053,534.0658971081475,561.2952827885924,584.4863729646102,578.6477492939007,597.6099173467778,589.4901882377447,619.8419195618255,651.8109022905555,684.4664762232733,709.0197317832352,739.980244344159,772.5604346943053,806.3055882971744,839.1533556542022,869.4777410164763,907.8325770179432,945.3948138687431,965.4175883797257,982.4845661032223,928.7453323965449,931.9422810888797,962.1391842385023,1000.8937011797491,1043.2685956469297,1090.7263419324663,1128.457300821934,1174.5125397876716,1224.3494831373478,1276.8041108712773,1323.4598490980288,1378.9099585234185,1375.6329118835033,1398.1865393053845,1447.0098237992015,1527.8381163145004,1582.8209803741745,1643.3862122129976,1718.6725104733637,1787.32477677506,1862.6051241414398,1942.0979325885244
